x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11
11690	10965	1.6	4	103	8.4	6.9	1067	249	424	168
12585	11802	1.6	4	103	8.4	6.9	1057	249	389	168
14610	13697	2.2	4	140	9	6.4	1178	264	465	175
14810	13884	2.2	4	140	9	6.4	1204	264	465	173
16385	15357	2.2	4	140	9	6.4	1178	264	465	175
13670	12849	2	4	132	8.1	6.5	1161	267	442	170
15040	14086	2	4	132	8.1	6.5	1182	267	442	170
13270	12482	2	4	130	9	7.1	1175	262	427	170
13730	12906	2	4	110	8.7	6.5	1173	262	427	170
15460	14496	2	4	130	9	7.1	1173	262	427	170
15580	14607	2	4	130	9	7.1	1211	262	427	170
13270	12175	1.7	4	115	7.4	6.2	1094	262	445	170
14170	12996	1.7	4	117	6.5	5.3	1125	262	445	170
15850	14531	1.7	4	115	7.4	6.2	1131	262	445	173
10539	10107	1.6	4	103	8.1	7.1	1015	244	424	168
11839	11116	1.6	4	103	8.1	7.1	1031	244	424	168
11939	11209	1.6	4	103	8.1	7.1	1053	244	424	168
13839	12781	2	4	138	9	6.9	1186	262	452	173
15389	14207	2	4	138	9	6.9	1186	262	452	173
15389	14207	2	4	138	9	6.9	1214	262	452	173
16040	14910	2.4	4	138	10.2	7.8	1476	269	472	183
10280	9875	1.6	4	104	9	7.1	1081	241	424	168
11155	10705	1.6	4	104	9.4	7.4	1106	241	424	168
12360	11630	1.8	4	124	9.8	7.4	1197	257	452	173
13580	12830	1.8	4	124	9.8	7.4	1209	257	452	173
14630	13790	1.8	4	124	9.8	7.4	1214	257	452	173
15500	14525	2	4	148	12.3	9.1	1213	264	449	180
16999	15437	1.6	4	115	8.4	6.4	1136	246	363	170
14622	13751	2	4	120	12.3	9.1	1195	259	460	170
16722	15718	2	4	120	12.3	9.1	1258	259	460	170
12740	12205	1.8	4	126	8.4	6.7	1131	254	452	170
14740	13747	1.8	4	126	8.4	6.7	1161	254	452	170
15495	14375	2.2	4	140	9.8	7.1	1247	264	462	173
10995	10319	2.2	4	140	9	6.7	1211	262	470	170
14300	13393	2.2	4	140	9	6.7	1211	262	470	170
15825	14811	2.2	4	140	9	6.7	1211	262	470	170
14850	13904	2.2	4	140	9	6.7	1238	262	470	173
16350	15299	2.2	4	140	9	6.7	1238	262	470	173
12965	12340	1.5	4	108	7.4	6.2	1053	236	391	170
12884	12719	2.3	4	155	9.4	7.6	1204	249	434	173
14500	14317	2.3	4	155	9.4	7.6	1204	249	434	173
12269	12116	2	4	119	9.8	7.6	1215	259	450	173
15568	15378	2	4	119	10.7	7.8	1240	259	450	173
14085	13065	1.8	4	130	7.4	5.9	1126	259	452	170
15030	13650	1.8	4	130	7.4	5.9	1136	259	452	170
15295	13889	1.8	4	130	7.4	5.9	1136	259	452	170
10760	10144	1.5	4	108	6.7	5.5	916	236	414	165
11560	10896	1.5	4	108	7.1	6	938	236	414	165
11290	10642	1.5	4	108	6.7	5.5	925	236	414	165
22180	20351	3.1	6	175	11.8	7.8	1509	277	495	185
21900	20095	3.4	6	180	11.2	7.4	1559	282	508	185
18995	17434	2.2	4	145	9.8	6.9	1428	269	478	178
20370	18639	3.5	6	200	10.7	7.8	1484	269	478	178
21825	20026	3.4	6	180	11.2	7.4	1503	282	503	185
17985	16919	2.4	4	150	10.7	8.1	1395	262	429	170
22000	20573	2.4	4	150	10.7	8.1	1397	262	429	170
19090	17805	2.4	4	150	10.7	7.8	1428	274	485	180
21840	20284	2.7	6	200	11.2	8.4	1450	274	485	180
22035	20502	2.7	6	200	11.2	8.1	1561	287	518	191
18820	17512	2.4	4	150	11.2	8.4	1432	274	485	180
20220	18821	2.4	4	150	11.2	8.4	1429	274	485	180
19135	17878	2	4	170	11.2	8.4	1238	262	427	170
20320	18881	3	6	155	11.8	8.7	1488	277	503	185
22735	20857	3	6	201	12.4	9	1491	277	503	185
19860	17924	2.4	4	160	9	6.9	1347	267	478	180
22260	20080	2.4	4	160	9	6.9	1371	267	478	180
17750	16265	1.7	4	127	7.4	6.4	1170	262	445	173
19490	17849	2	4	160	9	7.8	1252	257	422	170
20140	18451	1.4	4	93	5.1	4.6	1229	262	445	173
19110	17911	2	3	73	3.9	3.6	833	241	394	170
19339	17574	2.7	6	170	12.4	8.7	1448	269	475	183
20339	18380	2.7	6	170	12.4	8.7	1448	269	475	183
18435	16850	2.7	6	170	11.8	8.7	1476	269	472	183
17200	15922	2.3	4	160	12.3	9.1	1243	274	470	180
19270	17817	2.3	4	160	9.8	7.4	1369	267	475	178
21595	19848	3	6	155	11.8	8.7	1489	277	508	185
19999	18137	1.6	4	163	9.4	6.9	1205	246	366	170
19312	17957	2.4	4	160	12.3	9.1	1508	274	485	183
17232	16196	2	4	120	12.3	9.1	1235	259	460	170
19240	18030	2.5	4	175	11.2	9	1368	279	488	178
17640	16444	2.5	4	165	10.2	8.4	1242	254	452	170
18825	17642	2.2	4	140	9.8	7.4	1326	272	475	178
22450	20595	3.4	6	175	11.8	8.1	1403	272	472	178
22395	20545	3.8	6	200	11.8	7.8	1565	282	503	188
17735	16369	2.2	4	140	9.8	7.1	1247	264	462	173
21410	19801	3	6	182	11.8	8.4	1439	272	483	175
19945	18399	2.5	4	165	10.7	8.4	1334	251	442	175
20445	18713	2.5	4	165	11.2	8.4	1478	264	467	175
17262	17053	2.5	6	155	11.8	8.7	1521	269	478	183
19560	17558	2.4	4	157	9.8	7.1	1389	272	480	180
22775	20325	3	6	210	11.2	8.1	1483	272	480	180
19635	17722	2.4	4	157	9.8	7.1	1429	272	490	183
21965	19819	3.3	6	225	11.8	8.1	1538	272	490	183
20510	18926	1.5	4	110	4	4.6	1301	269	445	173
18715	17478	2	4	115	9.8	7.6	1304	251	419	173
19825	18109	1.8	4	180	9.8	7.6	1320	251	427	173
21055	19638	1.9	4	100	6.2	5.1	1351	251	437	173
21055	19638	1.8	4	150	9.8	7.6	1269	251	409	173
